Color Name,Red,Green,Blue
Ruby Skin,0xe4,0xa9,0x93
Opal Skin,0xe6,0xc2,0xb5
Pearl Skin,0xe8,0xd1,0xc7
Carnelean Skin,0x72,0x55,0x5b
Tiger's Eye Skin,0x9d,0x62,0x66
Topaz Skin,0xba,0x6b,0x65
Jasper Skin,0xab,0x6e,0x6d
Tourmaline Skin,0xcb,0x8e,0x81
Leopard Stone Skin,0xc7,0x9e,0x9b
Obsidian Skin,0x60,0x58,0x5d
Onyx Skin,0x7a,0x60,0x59
Mocca Skin,0x90,0x76,0x6c
Amber Skin,0xb2,0x93,0x7b
Dorado Skin,0xda,0xbe,0xa5
Quartz Skin,0xda,0xbe,0xa5
